venue,tau_bin,gap_bin,n,b_mean,b_std,spread_med
polymarket,120,2.5,1628,0.5681695331695332,0.20120793063761694,0.010000000000000009
polymarket,120,5,1753,0.7686537364517969,0.1628439857929027,0.010000000000000009
polymarket,120,7.5,1079,0.819406858202039,0.1830650714860441,0.010000000000000009
polymarket,120,10,665,0.8145338345864661,0.18525180473537523,0.010000000000000009
polymarket,120,12.5,616,0.8743977272727274,0.17137110189274032,0.010000000000000009
polymarket,120,15,248,0.8947681451612903,0.16853942604316244,0.010000000000000009
polymarket,120,17.5,112,0.8545535714285714,0.18965301836384624,0.010000000000000009
polymarket,120,20,47,0.6786170212765957,0.2331301701318749,0.010000000000000009
polymarket,120,25,6,0.9500000000000001,0.008366600265340746,0.010000000000000009
polymarket,120,27.5,36,0.9824305555555556,0.01562376979284064,0.010000000000000009
polymarket,120,30,34,0.9920294117647058,0.005970814340265321,0.0040000000000000036
polymarket,180,-27.5,266,0.028345864661654136,0.019233930362098833,0.01
polymarket,180,-25,63,0.02992063492063492,0.01857161516704872,0.01
polymarket,180,-22.5,87,0.2115574712643678,0.23100838635344856,0.010000000000000002
polymarket,180,-20,142,0.09503521126760564,0.1477064566392877,0.010000000000000002
polymarket,180,-17.5,47,0.1652127659574468,0.19288980140396597,0.01
polymarket,180,-15,179,0.09924581005586593,0.1627428726818789,0.01
polymarket,180,-12.5,555,0.09165765765765765,0.10174226795371893,0.01
polymarket,180,-10,1182,0.12400253807106598,0.1383564130424122,0.010000000000000002
polymarket,180,-7.5,1643,0.16594035301278148,0.13920203281805626,0.010000000000000009
polymarket,180,-5,2674,0.21586387434554974,0.14837693333963148,0.010000000000000009
polymarket,180,-2.5,3216,0.2908286691542289,0.14801986605005277,0.010000000000000009
polymarket,180,0,3594,0.39299109627156376,0.1581681294411434,0.010000000000000009
polymarket,180,2.5,3472,0.5641330645161291,0.17090982198176805,0.010000000000000009
polymarket,180,5,3301,0.7193956376855498,0.15305635652227428,0.010000000000000009
polymarket,180,7.5,2299,0.7974010439321444,0.13660800748844415,0.010000000000000009
polymarket,180,10,1755,0.8284814814814814,0.13978364971470914,0.010000000000000009
polymarket,180,12.5,1373,0.8775200291332848,0.1418606333171058,0.010000000000000009
polymarket,180,15,763,0.9081913499344693,0.11100474123206072,0.010000000000000009
polymarket,180,17.5,297,0.9071885521885522,0.13081381757484517,0.010000000000000009
polymarket,180,20,220,0.9654545454545455,0.038827245615360814,0.010000000000000009
polymarket,180,22.5,76,0.9007894736842105,0.07394165552009649,0.010000000000000009
polymarket,180,25,41,0.8867073170731709,0.055628339855886,0.010000000000000009
polymarket,180,27.5,59,0.9756779661016949,0.029110041328324395,0.006000000000000005
polymarket,180,30,20,0.9898999999999999,0.031752165280496986,0.0040000000000000036
polymarket,240,-27.5,119,0.10894957983193278,0.03580120458618622,0.009999999999999995
polymarket,240,-22.5,4,0.26,0.2829016319029166,0.010000000000000005
polymarket,240,-20,11,0.41590909090909095,0.19821475956419315,0.010000000000000009
polymarket,240,-17.5,126,0.08773809523809524,0.06765680200203711,0.010000000000000002
polymarket,240,-15,222,0.16324324324324324,0.13213552046523785,0.010000000000000002
polymarket,240,-12.5,387,0.1811111111111111,0.1488454898554761,0.010000000000000009
polymarket,240,-10,606,0.16478547854785477,0.1260632276897421,0.010000000000000009
polymarket,240,-7.5,1577,0.18877932783766643,0.1216079746408451,0.010000000000000009
polymarket,240,-5,2043,0.28700685266764564,0.12939865419006913,0.010000000000000009
polymarket,240,-2.5,3678,0.33042278412180537,0.11767443040916489,0.010000000000000009
polymarket,240,0,4759,0.4270907753729775,0.12175255950973218,0.010000000000000009
polymarket,240,2.5,4835,0.5558107549120992,0.13357049885047975,0.010000000000000009
polymarket,240,5,4007,0.6599338657349638,0.1312462894175533,0.010000000000000009
polymarket,240,7.5,2360,0.7215190677966102,0.12333241911555853,0.010000000000000009
polymarket,240,10,1540,0.7958084415584417,0.1264413161368528,0.010000000000000009
polymarket,240,12.5,717,0.8126011157601115,0.13545739769732826,0.010000000000000009
polymarket,240,15,645,0.8903023255813953,0.0786247875359936,0.010000000000000009
polymarket,240,17.5,341,0.9004545454545455,0.0721987564145498,0.010000000000000009
polymarket,240,20,192,0.9196354166666666,0.06772961640261509,0.010000000000000009
